Time,Yaw_Angle
1773502624.7816138,90.1
1773502624.8813932,90.1
1773502624.9813638,90.1
1773502625.0812893,90.1
1773502625.181283,90.1
1773502625.2813454,90.1
1773502625.3813348,90.1
1773502625.48192,90.1
1773502625.5821197,90.1
1773502625.6819515,90.1
1773502625.7812786,90.1
1773502625.881305,90.1
1773502625.981313,90.1
1773502626.0813034,90.1
1773502626.1813114,90.1
1773502626.28145,90.1
1773502626.3817742,90.1
1773502626.4823363,90.1
1773502626.5824707,90.1
1773502626.6821024,90.1
1773502626.7816138,90.1
1773502626.881406,90.1
1773502626.9812787,90.1
1773502627.0812733,90.1
1773502627.1813233,90.1
1773502627.28129,90.1
1773502627.3820388,90.1
1773502627.481594,90.1
1773502627.581599,90.1
1773502627.681897,90.1
1773502627.7819023,90.1
1773502627.8815856,90.1
1773502627.981482,90.1
1773502628.0814114,90.1
1773502628.181582,90.1
1773502628.281974,90.1
1773502628.3820539,90.1
1773502628.482161,90.1
1773502628.5820777,90.1
1773502628.6814163,90.1
1773502628.7814631,90.1
1773502628.8814085,90.1
1773502628.9816036,90.1
1773502629.081423,90.1
1773502629.1813297,90.1
1773502629.2814536,90.1
1773502629.3820705,90.1
1773502629.4813728,90.1
1773502629.5814438,90.1
1773502629.6815681,90.1
1773502629.7814877,90.1
1773502629.8814602,90.1
1773502629.9814517,90.1
1773502630.081481,90.1
1773502630.1815548,90.1
1773502630.28169,90.1
1773502630.381398,90.1
1773502630.481319,90.1
1773502630.5814996,90.1
1773502630.6817398,90.1
1773502630.7815142,90.1
1773502630.88178,90.1
1773502630.981656,90.1
1773502631.0815794,90.1
1773502631.1815448,90.1
1773502631.2820458,90.1
1773502631.3819895,90.1
1773502631.4818325,90.1
1773502631.5814652,90.1
1773502631.6814392,90.1
1773502631.7813957,90.1
1773502631.8814135,90.1
1773502631.9818916,90.1
1773502632.0818524,90.1
1773502632.1817305,90.1
1773502632.2813404,90.1
1773502632.3813221,90.1
1773502632.4819508,90.1
1773502632.582,90.1
1773502632.6816294,90.1
1773502632.781684,90.1
